"Story","Title","Result","Date","Stability","Duration (s)"
"Formulario Popup Validacion","Diligenciamiento exitoso del formulario Popup Validation,","ERROR","11:53:58","0.0","26.67"
"Formulario Popup Validacion","Diligenciamiento con errores del formulario Popup Validation,","SUCCESS","17:36:12","0.0","49.29"
